stack,sheet_label,condition,current_density_A_cm2,figure,curves
Stack1,Cell 01,1,0.3,results\figures\eis\by_condition\Stack1\Cell_01\condition_1_0.3Acm2.png,7
Stack1,Cell 01,1,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_1_0.7Acm2.png,7
Stack1,Cell 01,1,1.0,results\figures\eis\by_condition\Stack1\Cell_01\condition_1_1Acm2.png,1
Stack1,Cell 01,2,0.3,results\figures\eis\by_condition\Stack1\Cell_01\condition_2_0.3Acm2.png,2
Stack1,Cell 01,2,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_2_0.7Acm2.png,3
Stack1,Cell 01,2,1.0,results\figures\eis\by_condition\Stack1\Cell_01\condition_2_1Acm2.png,1
Stack1,Cell 01,3,0.3,results\figures\eis\by_condition\Stack1\Cell_01\condition_3_0.3Acm2.png,2
Stack1,Cell 01,3,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_3_0.7Acm2.png,2
Stack1,Cell 01,3B,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_3B_0.7Acm2.png,1
Stack1,Cell 01,4,0.3,results\figures\eis\by_condition\Stack1\Cell_01\condition_4_0.3Acm2.png,1
Stack1,Cell 01,4,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_4_0.7Acm2.png,1
Stack1,Cell 01,5,0.3,results\figures\eis\by_condition\Stack1\Cell_01\condition_5_0.3Acm2.png,2
Stack1,Cell 01,5,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_5_0.7Acm2.png,2
Stack1,Cell 01,6,0.3,results\figures\eis\by_condition\Stack1\Cell_01\condition_6_0.3Acm2.png,2
Stack1,Cell 01,6,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_6_0.7Acm2.png,2
Stack1,Cell 01,6,1.0,results\figures\eis\by_condition\Stack1\Cell_01\condition_6_1Acm2.png,1
Stack1,Cell 01,7,0.3,results\figures\eis\by_condition\Stack1\Cell_01\condition_7_0.3Acm2.png,2
Stack1,Cell 01,7,0.7,results\figures\eis\by_condition\Stack1\Cell_01\condition_7_0.7Acm2.png,2
Stack1,Cell 01,7,1.0,results\figures\eis\by_condition\Stack1\Cell_01\condition_7_1Acm2.png,1
Stack1,Cell 03,1,0.3,results\figures\eis\by_condition\Stack1\Cell_03\condition_1_0.3Acm2.png,7
Stack1,Cell 03,1,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_1_0.7Acm2.png,7
Stack1,Cell 03,1,1.0,results\figures\eis\by_condition\Stack1\Cell_03\condition_1_1Acm2.png,1
Stack1,Cell 03,2,0.3,results\figures\eis\by_condition\Stack1\Cell_03\condition_2_0.3Acm2.png,2
Stack1,Cell 03,2,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_2_0.7Acm2.png,3
Stack1,Cell 03,2,1.0,results\figures\eis\by_condition\Stack1\Cell_03\condition_2_1Acm2.png,1
Stack1,Cell 03,3,0.3,results\figures\eis\by_condition\Stack1\Cell_03\condition_3_0.3Acm2.png,2
Stack1,Cell 03,3,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_3_0.7Acm2.png,2
Stack1,Cell 03,3B,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_3B_0.7Acm2.png,1
Stack1,Cell 03,4,0.3,results\figures\eis\by_condition\Stack1\Cell_03\condition_4_0.3Acm2.png,1
Stack1,Cell 03,4,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_4_0.7Acm2.png,1
Stack1,Cell 03,5,0.3,results\figures\eis\by_condition\Stack1\Cell_03\condition_5_0.3Acm2.png,2
Stack1,Cell 03,5,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_5_0.7Acm2.png,2
Stack1,Cell 03,6,0.3,results\figures\eis\by_condition\Stack1\Cell_03\condition_6_0.3Acm2.png,2
Stack1,Cell 03,6,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_6_0.7Acm2.png,2
Stack1,Cell 03,6,1.0,results\figures\eis\by_condition\Stack1\Cell_03\condition_6_1Acm2.png,1
Stack1,Cell 03,7,0.3,results\figures\eis\by_condition\Stack1\Cell_03\condition_7_0.3Acm2.png,2
Stack1,Cell 03,7,0.7,results\figures\eis\by_condition\Stack1\Cell_03\condition_7_0.7Acm2.png,2
Stack1,Cell 03,7,1.0,results\figures\eis\by_condition\Stack1\Cell_03\condition_7_1Acm2.png,1
