stack,cycle_label,cycles,file,Cmon_Current (A/cm^2),Cell1 (mV),Cell10 (mV),Cell15 (mV),Cell24 (mV),Minimum_Voltage (mV),Average_Voltage (mV),Maximum_Voltage (mV)
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.59906615384616,438.870588235294,436.895798319328,431.549579831933,418.368067226891,414.84705882353,438.743697478992,457.783193277311
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.49889025641026,480.770247933884,477.958677685951,479.047933884297,466.765289256198,462.180165289256,481.053719008265,497.228099173554
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.39937179487179,513.842975206611,511.712396694215,514.709090909091,502.404958677686,498.842975206611,514.498347107438,528.135537190082
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.2991958974359,542.477685950414,541.595041322314,545.871074380165,536.289256198347,531.651239669422,544.61652892562,556.528925619835
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.19895435897436,567.634710743802,569.5173553719,573.350413223141,564.393388429751,561.158677685951,571.060330578513,581.745454545455
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.0992904259377,594.25785123967,597.695867768596,600.41652892562,592.829752066116,589.67438016529,598.599173553719,607.745454545454
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.998536923076925,616.4826446281,620.869421487604,624.502479338844,618.447933884298,613.188429752066,622.250413223141,630.355371900826
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.899610256410257,635.864462809918,642.370247933885,645.922314049587,639.819834710744,634.970247933884,643.263636363637,650.765289256199
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.799368717948716,655.667768595041,663.02479338843,665.295867768595,660.576859504132,655.109090909091,663.376859504132,669.727272727273
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.699258461538463,676.105785123967,683.371900826446,686.623140495868,681.234710743801,676.001652892562,683.412396694215,689.555371900826
