stack,cycles,condition,current_density_A_cm2,R_ohm_ohm,R_anode_ct_ohm,R_cathode_ct_ohm,figure
Stack1,0,1,0.3,0.0,0.007810087983670059,0.0393246150044294,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,0,2,0.3,0.00045878196091056825,0.005385881764593211,0.033553392385487366,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0,6,0.3,0.003095383865160763,0.0017735616130755095,0.037442926653193785,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,0,7,0.3,0.0,0.007196492318488483,0.036647193785356705,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,58,1,0.3,0.00036652675057371065,0.008028171418573298,0.03842520235580861,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\58Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,140,1,0.3,0.0,0.012974967749310718,0.03886299745283376,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,204,1,0.3,0.0022760112291508386,0.003316718690156728,0.03493515257720064,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,300,1,0.3,0.0,0.00781268583573083,0.039732466979687346,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\300Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,410,1,0.3,0.0005105587588331503,0.0046026066385503085,0.03742445426339796,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\410Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,528,1,0.3,0.0,0.011074529427482757,0.04472924870788965,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\528Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack1,528,2,0.3,0.0,0.009053700278079677,0.053210506380030435,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\528Cycles_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,528,6,0.3,0.0009335134801882572,0.004727599427113201,0.040550012180255515,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\528Cycles_condition_6_Real_Ageing_EIS-6-0_3.png
Stack1,528,7,0.3,0.0,0.009344173155150824,0.04255219487532505,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\528Cycles_condition_7_Real_Ageing_EIS-7-0_3.png
Stack1,0,1,0.7,0.0,0.029692455732809417,0.039666656843461656,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0,2,0.7,0.0,0.014862429573035319,0.03014715372103625,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0,6,0.7,0.0,0.023563524850399076,0.04454244551327147,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,0,7,0.7,0.0,0.016543169287527366,0.027283178339579776,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,58,1,0.7,0.0,0.01145162288326096,0.040094770566909285,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\58Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,58,2,0.7,0.0,0.014862429573035319,0.03014715372103625,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\58Cycles_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,140,1,0.7,0.0,0.026219683769607687,0.04001624991908855,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\140Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,204,1,0.7,0.0,0.014216731268739975,0.03989996738908459,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\204Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,300,1,0.7,0.0,0.01547415077607653,0.03995445304805398,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\300Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,410,1,0.7,0.0,0.01470502554962829,0.04129668613206069,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\410Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,528,1,0.7,0.0,0.010714636871481956,0.04294885508371058,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\528Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,528,2,0.7,0.0,0.010145204588018361,0.04255914890323571,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\528Cycles_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,528,6,0.7,0.0,0.021554373538805006,0.04742488061609406,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\528Cycles_condition_6_Real_Ageing_EIS-6-0_7.png
Stack1,528,7,0.7,0.0,0.011834214635553201,0.038310994732902365,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\528Cycles_condition_7_Real_Ageing_EIS-7-0_7.png
Stack1,528,1,1.0,0.0,0.027473264127898352,0.050117931128946185,results\figures\eis_fits\Stack1\Whole_Stack\1Acm2\528Cycles_condition_1_Real_Ageing_EIS-1-1_0.png
Stack1,528,2,1.0,0.0,0.04143584624026784,0.047167653883355705,results\figures\eis_fits\Stack1\Whole_Stack\1Acm2\528Cycles_condition_2_Real_Ageing_EIS-2-1_0.png
Stack1,528,6,1.0,0.0,0.01959201238255991,0.06377234531619612,results\figures\eis_fits\Stack1\Whole_Stack\1Acm2\528Cycles_condition_6_Real_Ageing_EIS-6-1_0.png
Stack1,528,7,1.0,0.0,0.011547550877263947,0.04370471488225509,results\figures\eis_fits\Stack1\Whole_Stack\1Acm2\528Cycles_condition_7_Real_Ageing_EIS-7-1_0.png
Stack2,0,1,0.3,0.002541847068397737,0.0025594714569500904,0.034047664885736476,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,0,2,0.3,0.0,0.007668099120985688,0.036512108793403955,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack2,0,6,0.3,0.0,0.007192185956940847,0.040570527994068094,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack2,0,7,0.3,0.0,0.008272642033691324,0.039514417456194384,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack2,60,1,0.3,0.002742670773802079,0.002590888366390025,0.03407582653729263,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\60Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
